,category
0,Middle School
1,Cycling
2,Elementary School
3,Mermaid
4,Android
5,All Girls School
6,Vampire
7,Wrestling
8,Samurai
9,Elf
10,Pirate
11,Bishounen
12,Tentacle
13,Boxing
14,Musical Band
15,Cooking
16,Air Force
17,Bounty Hunter
18,High School
19,Delinquent
20,Maid
21,Magic
22,Cyborg
23,Alien
24,Zombie
25,Robot
26,Martial Arts
27,Angel
28,Waitress
29,Dragon
30,Assassin
31,Idol
32,Nurse
33,Magical Girl
34,Ghost
35,Cross Dressing
36,Loli
37,Deity
38,Ninja
39,Office Lady
40,Gunfights
41,Battle Royale
42,Swordplay
43,Super Power
44,Present
45,Past
46,Future
47,Space
48,Fantasy World
49,Desert
50,Earth
51,Island
52,Countryside
53,Human Enhancement
54,Time Travel
55,Mecha
56,Space Travel
57,Alternative Past
58,Historical
59,Alternative Present
60,Power Suit
61,Transforming Craft
62,Piloted Robot
63,Demon
64,High Fantasy
65,Contemporary Fantasy
66,Dark Fantasy
67,Absurdist Humour
68,Super Deformed
69,Slapstick
70,Breaking The Fourth Wall
71,Parody
72,Satire
73,Other Planet
74,Shipboard
75,University
76,School Clubs
77,Japan
78,Korea
79,China
80,Russia
81,Tokyo
82,Kyoto
83,New York
84,Heian Period
85,Victorian Period
86,Sengoku Period
87,Tokugawa Period
88,World War II
89,Bakumatsu   Meiji Period
90,Voyeurism
91,Netorare
92,Ahegao
93,Violence
94,Combat
95,Tennis
96,Volleyball
97,Motorsport
98,Basketball
99,Mars
100,Street Racing
101,Formula Racing
102,Violent Retribution For Accidental Infringement
103,Feudal Warfare
104,Humanoid Alien
105,Parasite
106,Slow When It Comes To Love
107,Shoujo Ai
108,Shounen Ai
109,Sudden Girlfriend Appearance
110,Unrequited Love
111,Love Polygon
112,Plot Continuity
113,Stereotypes
114,Reverse Harem
115,Performance
116,Music
117,Baseball
118,France
119,United Kingdom
120,Italy
121,Germany
122,United States
123,Europe
124,Americas
125,Middle East
126,Asia
127,Africa
128,Floating Island
129,Parallel Universe
130,Virtual Reality
131,Mafia
132,Action
133,Angst
134,Blackmail
135,Science Fiction
136,Fantasy
137,Adventure
138,Horror
139,Thriller
140,Comedy
141,Henshin
142,Ecchi
143,Anthropomorphism
144,Romance
145,Harem
146,Cyberpunk
147,Friendship
148,Proxy Battles
149,Slice of Life
150,Slavery
151,Politics
152,School Life
153,Steampunk
154,Anti War
155,Crime
156,Disaster
157,Religion
158,Revenge
159,Conspiracy
160,Sports
161,Dystopia
162,The Arts
163,Law And Order
164,Drama
165,Coming Of Age
166,Housewives
167,Female Teacher
168,Female Student
169,Dark Skinned Girl
170,Cops
171,Special Squads
172,Genetic Modification
173,Parental Abandonment
174,Post Apocalypse
175,War
176,Rotten World
177,Detective
178,Super Robot
179,Working Life
180,Superhero
181,Buddhism
182,Shinsengumi
183,Military
184,Space Battles
185,Drifting
186,Three Kingdoms
187,Summer
188,Tone Changes
189,Epidemic
190,Space Opera
191,Card Games
192,Thievery
193,Navy
194,Student Government
195,Juujin
196,Robot Helper
197,Soccer
198,Content Indicators
199,Dynamic
200,Elements
201,Setting
202,Themes
203,Psychological
204,Supernatural
205,Mystery
206,Gender Bender
207,Yaoi
208,Anime Influenced
209,Dementia
210,Kids
211,Family
212,Target Demographics
213,Shoujo
214,Shounen
215,Seinen
216,Josei
217,Isekai
